country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,0.0,-569.0,-609.0,-646.0,-684.0,-726.0,-761.0,-1175.0,-1219.0,-1256.0,-1280.0,-1296.0,-552.0,-314.0,-247.0,-281.0,-690.0,-710.0,-727.0,-734.0,-737.0,-551.0,-411.0,-399.0,-536.0,-746.0,-946.0,-1049.0,-899.0,-185.0,879.0,1946.0,1294.0,1662.0,1668.0,1598.0,1636.0,1656.0,1786.0,1828.0,1235.0,560.0,350.0,324.0,315.0,579.0,569.0,621.0,666.0,703.0,498.0,315.0,229.0,134.0,88.0,177.0,170.0,218.0,367.0,412.0,0.0,501.0
AFE,-90849.0,-1348.0,-24259.0,-16266.0,37452.0,11041.0,-12060.0,4529.0,17992.0,-7733.0,1184.0,-94513.0,-129343.0,30089.0,142873.0,67213.0,14373.0,-369157.0,549108.0,127465.0,-308842.0,312842.0,166975.0,81379.0,150024.0,156794.0,228243.0,215740.0,-211477.0,-139006.0,22815.0,-511160.0,-556663.0,-156997.0,-391945.0,-243945.0,-427138.0,-813478.0,-432996.0,-399164.0,-564510.0,-409728.0,-452301.0,-342557.0,-331713.0,-357877.0,-284378.0,-214900.0,-359068.0,-473488.0,-371556.0,-683611.0,-285231.0,-92842.0,-199608.0,394925.0,-864708.0,-343075.0,-366105.0,-187410.0,-48955.0,-179444.0
AFG,2606.0,6109.0,7016.0,6681.0,7079.0,10695.0,3563.0,6824.0,3333.0,2029.0,4458.0,-12801.0,-4050.0,-3030.0,-20009.0,-44418.0,-85430.0,-83115.0,-117186.0,-481199.0,-1205401.0,-2127145.0,-586943.0,-192869.0,322022.0,-210572.0,-427073.0,-402606.0,-89837.0,2683.0,-666001.0,39926.0,1834556.0,1171818.0,665410.0,71824.0,27194.0,6129.0,35740.0,85758.0,-1007135.0,-192286.0,1327074.0,388632.0,-248616.0,252185.0,62684.0,-942887.0,221000.0,-58881.0,-141355.0,418796.0,105905.0,48076.0,255611.0,-281739.0,-90238.0,-47090.0,-47205.0,-8082.0,166821.0,-183672.0
AFW,-847.0,-41547.0,-36399.0,-37435.0,-45534.0,-15985.0,-21743.0,9625.0,-2360.0,-16684.0,6159.0,-86991.0,-56426.0,-51885.0,-3597.0,-4921.0,-137370.0,-75777.0,-81679.0,-76127.0,-153529.0,-86322.0,-8242.0,-682765.0,-354123.0,-284607.0,-214280.0,-186148.0,-103580.0,-54273.0,-529414.0,-101888.0,-72380.0,-345858.0,-198790.0,10350.0,-188064.0,56467.0,-17330.0,-158730.0,-22651.0,-38737.0,-39042.0,-99836.0,-41511.0,-137920.0,-223100.0,-225365.0,-247671.0,-220606.0,-264237.0,-198802.0,-435876.0,-377305.0,-280418.0,-360393.0,-167286.0,-200823.0,-255888.0,-328552.0,-99761.0,-264802.0
AGO,-43749.0,-49186.0,-54566.0,-59777.0,-71948.0,-87288.0,-104955.0,-113780.0,-111222.0,-81748.0,-36455.0,3219.0,35014.0,40182.0,39146.0,38725.0,35245.0,44937.0,45001.0,47175.0,53078.0,52138.0,55830.0,61000.0,57744.0,54953.0,47774.0,46192.0,47815.0,46755.0,47663.0,33925.0,39196.0,38883.0,45272.0,40855.0,45356.0,49960.0,51856.0,51687.0,53527.0,56959.0,60505.0,59438.0,66585.0,64009.0,70170.0,73940.0,73804.0,77265.0,90016.0,94709.0,96056.0,91528.0,84532.0,74170.0,91623.0,77733.0,61632.0,58986.0,7557.0,29089.0
ALB,15540.0,15424.0,15288.0,15007.0,14612.0,14209.0,13747.0,13164.0,12504.0,11991.0,11102.0,10007.0,8796.0,7346.0,5834.0,3922.0,1646.0,-683.0,-3324.0,-6146.0,-9135.0,-12432.0,-15706.0,-19231.0,-23253.0,-27468.0,-32143.0,-37189.0,-42393.0,-48054.0,-52723.0,-56599.0,-59634.0,-61925.0,-63700.0,-65106.0,-65800.0,-65975.0,-65616.0,-64787.0,-63610.0,-62059.0,-59876.0,-57308.0,-54383.0,-50855.0,-47174.0,-43019.0,-38736.0,-34116.0,-29330.0,-24465.0,-19946.0,-16845.0,-14265.0,-12240.0,-10887.0,-9768.0,-9106.0,-8889.0,-9117.0,-10612.0
AND,642.0,653.0,664.0,670.0,672.0,669.0,856.0,1061.0,1086.0,1112.0,1132.0,1163.0,1180.0,1208.0,1223.0,1235.0,1294.0,1294.0,1278.0,1210.0,959.0,931.0,1387.0,1386.0,1389.0,1219.0,1678.0,1710.0,1662.0,1616.0,1589.0,1501.0,1446.0,1530.0,1474.0,1588.0,182.0,140.0,183.0,39.0,146.0,2690.0,2690.0,2722.0,2744.0,2467.0,-2420.0,-2446.0,-2584.0,-2678.0,-2864.0,27.0,33.0,12.0,-84.0,-232.0,1303.0,887.0,1184.0,1238.0,1474.0,1377.0
ARB,-111478.0,-176004.0,-144522.0,-184289.0,-173533.0,-186104.0,-88973.0,-68591.0,-38322.0,-49053.0,-62613.0,-100946.0,-65527.0,-25001.0,86457.0,461003.0,1160872.0,273825.0,6296.0,882288.0,467972.0,-18224.0,292311.0,270068.0,158418.0,-73250.0,173017.0,-86700.0,-487966.0,-229037.0,-2012275.0,-322443.0,-263405.0,731021.0,-157334.0,-106482.0,-144006.0,17793.0,-23185.0,-34533.0,-4273.0,-182158.0,-87387.0,-247339.0,10402.0,820217.0,1327595.0,1631375.0,1470703.0,1117576.0,39096.0,-864858.0,-66311.0,340149.0,-184490.0,-194516.0,3140.0,13305.0,511128.0,139844.0,-1585167.0,-458710.0
ARE,3916.0,4081.0,4108.0,4037.0,3922.0,3866.0,3789.0,3629.0,29767.0,37673.0,38490.0,39031.0,39360.0,39563.0,39700.0,39556.0,76314.0,79336.0,81531.0,82586.0,79756.0,37758.0,38243.0,38014.0,36660.0,35496.0,68733.0,68141.0,67441.0,66283.0,64939.0,64706.0,63263.0,62946.0,59748.0,64261.0,130051.0,131906.0,133350.0,133289.0,131735.0,130241.0,128160.0,124550.0,122863.0,339380.0,781672.0,1037187.0,1040422.0,783241.0,-13726.0,-15738.0,-16401.0,-15566.0,-14954.0,-14154.0,-13520.0,-12895.0,-8582.0,-4466.0,-2762.0,-2762.0
ARG,20399.0,29321.0,29386.0,30637.0,32322.0,33973.0,35529.0,37727.0,39985.0,40436.0,38356.0,36056.0,36601.0,39199.0,43652.0,-5357.0,-10308.0,-14695.0,-14673.0,-10236.0,-3466.0,10366.0,19326.0,29062.0,30810.0,31967.0,32496.0,32345.0,30243.0,20445.0,6021.0,-8569.0,-13201.0,-16383.0,-18725.0,-19736.0,-20396.0,-20588.0,-20331.0,-20220.0,-22770.0,-22787.0,-22668.0,-22353.0,-22336.0,-21961.0,-19958.0,-18051.0,-12450.0,-7869.0,-4970.0,-1011.0,3127.0,5369.0,5801.0,5522.0,5215.0,4926.0,4690.0,4478.0,2344.0,2344.0
