SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2000,1096967.539,1100556.397,542720.39,557836.007,31.3389,97.2903,35.2289,4141.994,3.768,7177.717,0.652,106.3109,13532.358,898.729,12.312,1.6999,0.815,28.462,105.6,9390.364,4786.419,4603.945,8.544,77.6258,74.4986,80.687,63.391,60.3057,66.3991,17.9819,15.9689,19.646,8.2705,7.1409,8.925,93.039,6.8907,13451.348,111.861,8.2919,31.1326,39.9771,21.8176,111.4015,144.5489,77.1373,47.251,63.3289,30.5136,102.3813,134.9807,68.7738,3036.005,2.762
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2001,1104145.256,1107477.476,546214.637,561262.838,31.536,97.3189,35.5373,3918.662,3.543,6664.44,0.602,115.1407,13294.759,861.117,12.02,1.6729,0.8032,28.551,105.4,9376.097,4776.142,4599.955,8.477,77.9016,74.8019,80.9314,63.642,60.5829,66.6204,18.1826,16.1839,19.8365,8.3875,7.2568,9.0424,88.136,6.619,13218.377,106.772,8.0093,30.4047,39.1034,21.2375,109.6495,142.1136,76.0968,46.5115,62.2387,30.1262,100.9375,132.8697,68.0188,2745.906,2.483
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2002,1110809.696,1114326.598,549615.214,564711.384,31.731,97.3267,35.8415,3683.242,3.31,7033.804,0.631,109.849,13181.152,824.905,11.847,1.6616,0.7975,28.66,105.5,9497.91,4828.98,4668.93,8.537,78.0455,74.9846,81.0397,63.7693,60.7465,66.7153,18.2664,16.2934,19.9068,8.4077,7.2878,9.059,85.458,6.4768,13107.098,103.236,7.8058,29.7261,38.1295,20.8695,108.3981,140.4055,75.3339,45.8072,61.1409,29.8357,99.885,131.3909,67.4182,3350.714,3.012
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2003,1117843.5,1121330.647,553106.448,568224.199,31.9305,97.3395,36.126,3533.254,3.155,6974.294,0.622,111.4385,13212.101,801.843,11.8,1.6671,0.8005,28.775,105.5,9678.847,4906.481,4772.366,8.645,78.1265,75.1131,81.0789,63.832,60.8573,66.7359,18.3024,16.3683,19.9184,8.3917,7.2969,9.0314,83.349,6.3116,13139.808,100.615,7.6083,29.105,37.2704,20.502,107.6931,139.4245,74.9416,45.1991,60.2182,29.5586,99.3974,130.6254,67.2438,3441.24,3.074
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2004,1124817.794,1128500.671,556707.076,571793.596,32.1346,97.3615,36.4087,3802.706,3.375,7365.754,0.653,106.1481,13264.185,792.329,11.772,1.6755,0.8048,28.869,105.4,9461.479,4826.171,4635.308,8.397,78.5874,75.5666,81.5354,64.2723,61.2863,67.1763,18.6732,16.7113,20.3102,8.6731,7.5341,9.3403,81.624,6.16,13193.386,97.866,7.3849,28.1532,36.0908,19.7909,104.8218,135.686,72.9957,43.7778,58.2882,28.665,96.7979,127.2004,65.5192,3563.193,3.162
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2005,1132183.548,1136133.484,560647.086,575486.398,32.352,97.4214,36.6838,3632.143,3.203,7899.873,0.695,99.7334,13282.472,786.691,11.713,1.68,0.8073,28.94,105.4,9650.329,4913.435,4736.894,8.51,78.6936,75.7001,81.6227,64.3639,61.4077,67.2465,18.7239,16.7878,20.3495,8.6475,7.5201,9.3154,79.901,6.0213,13213.21,95.596,7.2098,27.7074,35.5697,19.4226,103.7414,134.436,72.0782,43.1033,57.3195,28.2892,95.8895,126.0968,64.8015,4268.05,3.764
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2006,1140083.421,1144598.244,565186.532,579411.712,32.593,97.5449,36.939,3999.099,3.502,9029.646,0.789,87.8514,13551.878,800.211,11.865,1.7143,0.8241,29.007,105.4,9552.779,4872.229,4680.55,8.363,79.0584,76.0833,81.963,64.7095,61.7691,67.5708,19.0226,17.0935,20.6405,8.8508,7.7133,9.5284,79.065,5.8567,13483.191,94.026,6.9926,27.0757,34.7936,18.9309,101.6841,131.7788,70.6444,42.0402,55.8816,27.6,94.0789,123.7167,63.5776,5030.752,4.404
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2007,1149113.067,1154094.932,570365.727,583729.205,32.8635,97.7107,37.172,4127.259,3.585,9963.73,0.863,80.3183,13777.992,815.268,11.967,1.7413,0.8377,29.073,105.3,9650.733,4923.549,4727.184,8.382,79.2614,76.3117,82.1456,64.8994,61.9818,67.7434,19.1502,17.2276,20.7721,8.9116,7.7775,9.5975,78.772,5.7382,13709.608,93.423,6.847,26.4441,33.9326,18.5183,99.8262,129.2714,69.4524,40.9055,54.2824,26.9237,92.3792,121.3985,62.5063,5836.583,5.07
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2008,1159076.797,1163865.031,575713.137,588151.893,33.1417,97.8851,37.3981,4131.549,3.558,9576.467,0.823,84.222,13907.841,816.218,11.977,1.7532,0.8439,29.153,105.3,9776.292,4977.981,4798.311,8.419,79.4636,76.5602,82.3047,65.0779,62.2062,67.8794,19.26,17.3603,20.8706,8.9448,7.8251,9.6337,76.74,5.5333,13841.32,90.989,6.602,25.5688,32.7343,17.9565,97.7085,126.388,68.1226,39.7212,52.4841,26.355,90.5442,118.801,61.4527,5444.985,4.689
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2009,1168653.264,1172942.654,580632.121,592310.534,33.4002,98.0283,37.64,3995.084,3.413,8578.781,0.731,94.8218,13755.138,782.106,11.75,1.7302,0.8328,29.262,105.3,9760.054,4980.534,4779.52,8.337,79.764,76.8878,82.5748,65.3619,62.5152,68.1359,19.4908,17.5862,21.1098,9.1025,7.9734,9.8073,73.667,5.3566,13691.484,87.429,6.3773,24.8613,31.5862,17.6946,95.9402,123.6741,67.3616,38.6779,50.7251,26.0406,88.9773,116.3155,60.8605,4583.553,3.915
20,1503,j,,,910.0,13,Income group,1802,High-income countries,2,Medium,2010,1177232.045,1180883.744,584798.053,596085.691,33.6263,98.1064,37.9099,3793.173,3.217,7303.397,0.618,112.1597,13677.805,724.414,11.6,1.7181,0.8273,29.419,105.3,9884.632,5036.855,4847.777,8.383,79.9826,77.1461,82.7571,65.5525,62.7437,68.2925,19.5882,17.7044,21.1972,9.1473,8.0279,9.8591,69.737,5.1022,13617.56,83.127,6.0896,23.824,30.2882,16.918,93.2626,120.1977,65.5147,37.1652,48.7802,24.9633,86.6272,113.1846,59.3183,3510.458,2.977
